control,individual_realization,mean_model
"['OP_5', 'OP_4', 'OP_2', 'WI_1', 'OP_3', 'WI_3', 'OP_1', 'WI_2']",7966506232.59,6720360337.99
"['OP_3', 'OP_1', 'OP_5', 'WI_2', 'OP_2', 'WI_1', 'OP_4', 'WI_3']",8403292329.22,6764702732.62
"['OP_4', 'OP_2', 'OP_5', 'WI_1', 'OP_3', 'WI_2', 'OP_1', 'WI_3']",7648132962.24,6673705348.43
"['OP_4', 'OP_5', 'OP_3', 'WI_3', 'OP_2', 'WI_1', 'OP_1', 'WI_2']",6894560371.18,6749602966.6
"['OP_3', 'OP_5', 'OP_1', 'WI_2', 'OP_4', 'WI_1', 'OP_2', 'WI_3']",8186720924.13,6765485550.85
"['OP_5', 'OP_2', 'OP_1', 'WI_2', 'OP_4', 'WI_1', 'OP_3', 'WI_3']",8176961996.08,6705447135.54
"['OP_4', 'OP_1', 'OP_3', 'WI_1', 'OP_2', 'WI_2', 'WI_3', 'OP_5']",6125442945.84,6912023615.43
"['OP_1', 'OP_4', 'OP_2', 'WI_1', 'OP_3', 'WI_3', 'WI_2', 'OP_5']",7530953509.57,6871207664.89
"['OP_4', 'OP_5', 'OP_1', 'WI_1', 'OP_2', 'WI_2', 'WI_3', 'OP_3']",7535613363.37,6757223250.95
"['OP_5', 'OP_4', 'OP_3', 'WI_3', 'OP_2', 'WI_2', 'WI_1', 'OP_1']",6974057776.34,6658163753.61
"['OP_5', 'OP_4', 'OP_2', 'WI_1', 'OP_3', 'WI_3', 'WI_2', 'OP_1']",6300868087.52,6739625329.28
"['OP_3', 'OP_1', 'OP_5', 'WI_2', 'OP_2', 'WI_1', 'WI_3', 'OP_4']",6350920943.13,6835956186.38
"['OP_4', 'OP_2', 'OP_5', 'WI_1', 'OP_3', 'WI_2', 'WI_3', 'OP_1']",7722296418.25,6676138685.16
"['OP_4', 'OP_5', 'OP_3', 'WI_3', 'OP_2', 'WI_1', 'WI_2', 'OP_1']",6821357109.25,6766310865.32
"['OP_3', 'OP_5', 'OP_1', 'WI_2', 'OP_4', 'WI_1', 'WI_3', 'OP_2']",7556282226.69,6824260370.19
"['OP_5', 'OP_2', 'OP_1', 'WI_2', 'OP_4', 'WI_1', 'WI_3', 'OP_3']",6303401833.38,6780710331.13
"['OP_4', 'OP_1', 'OP_3', 'WI_1', 'WI_2', 'OP_2', 'OP_5', 'WI_3']",7630115675.18,6924488497.45
"['OP_1', 'OP_4', 'OP_2', 'WI_1', 'WI_2', 'OP_5', 'OP_3', 'WI_3']",7849623182.44,6823768776.56
"['OP_4', 'OP_5', 'OP_1', 'WI_1', 'WI_3', 'OP_3', 'OP_2', 'WI_2']",8792855792.7,6733090073.53
"['OP_5', 'OP_4', 'OP_3', 'WI_3', 'WI_2', 'OP_2', 'OP_1', 'WI_1']",7480814948.04,6631949669.27
"['OP_5', 'OP_4', 'OP_2', 'WI_1', 'WI_2', 'OP_1', 'OP_3', 'WI_3']",7693263501.25,6708873035.99
"['OP_3', 'OP_1', 'OP_5', 'WI_2', 'WI_3', 'OP_4', 'OP_2', 'WI_1']",8306461379.39,6834721428.34
"['OP_4', 'OP_2', 'OP_5', 'WI_1', 'WI_2', 'OP_3', 'OP_1', 'WI_3']",7891677693.25,6674417349.54
"['OP_4', 'OP_5', 'OP_3', 'WI_3', 'WI_2', 'OP_1', 'OP_2', 'WI_1']",8862547923.04,6709625408.2
"['OP_3', 'OP_5', 'OP_1', 'WI_2', 'WI_1', 'OP_4', 'OP_2', 'WI_3']",7594340092.69,6882193697.96
"['OP_5', 'OP_2', 'OP_1', 'WI_2', 'WI_3', 'OP_3', 'OP_4', 'WI_1']",9022992838.08,6803590625.08
"['OP_4', 'OP_1', 'OP_3', 'WI_1', 'WI_2', 'OP_2', 'WI_3', 'OP_5']",9563626552.99,7031821592.51
"['OP_1', 'OP_4', 'OP_2', 'WI_1', 'WI_2', 'OP_5', 'WI_3', 'OP_3']",7410162479.3,6884473278.11
"['OP_4', 'OP_5', 'OP_1', 'WI_1', 'WI_3', 'OP_3', 'WI_2', 'OP_2']",7836897631.28,6776595975.33
